Lista de comprobación y resultados de la prueba para la aplicación móvil Urban.Lunch,,,
,,,
#,Descripción,Estado,Enlace al informe de errores
UL-1,El mapa muestra los puntos de recogida y la ubicación del usuario o usuaria,APROBADO,
UL-2,Ninguno de los puntos de recogida están seleccionados predeterminadamente,APROBADO,
UL-3,"Al tocar el punto de recogida, está negro y se considera seleccionado",APROBADO,
UL-4,Si se toca repetidamente el punto de recogida se cancela la selección ,APROBADO,
UL-5,"Si está seleccionado un punto de recogida y se selecciona otro, la selección cambia al nuevo punto de recogida",APROBADO,
UL-6,"Después de seleccionar un punto de recogida, se muestra su nombre en el pie de página",APROBADO,
UL-7,"El pie depágina muestra el progreso del pedido; en el nivel 1; el botón ""siguiente"" (círculo gris oscuro con una flecha blanca a la derecha) está inactivo si no se selecciona nigún punto de recogida. ",APROBADO,
UL-8,"Después de tocar el botón ""siguiente"" te llevará a la pantalla de selección de platillos",APROBADO,
UL-9,Cada elemento de la lista de platillos contiene el nombre del platillo ,APROBADO,
UL-10,"Cada elemento de la lista de platillos contiene los botones ""+"" y ""-""",APROBADO,
UL-11,Cada elemento de la lista de platillos contiene un contador ,APROBADO,
UL-12,Cada elemento de la lista de platillos contiene una flecha,APROBADO,
UL-13,"Si se toca cualquier área de la lista a excepción del botón ""+"" se abre la pantalla de detalles del platillo",APROBADO,
UL-14,"Al hacer clic en el botón ""+"" se agrega el platillo a la lista de pedidos desde el restaurante más cercano hasta el punto de recogida. ",APROBADO,
UL-15,"Al hacer clic en el botón ""-"" se elimina un elemento de la lista del pedido",APROBADO,
UL-16,El progreso del pedido se muestra en el pie de página ,APROBADO,
UL-17,Al completar cada paso este cambia de color,APROBADO,
UL-18,"Ell botón ""siguiente"" se encuentra inactivo si no hay platillos en la lista de pedidos",APROBADO,
UL-19,La descripción del platillo tiene una foto,APROBADO,
UL-20,La descripción del platillo tiene una descripción general ,APROBADO,
UL-21,La descripción del platillo muestra su composición ,APROBADO,
UL-22,La descripción del platillo muestra el restaurante en el que se encuentra disponible,NO APROBADO,https://andrea-del-pilar19.atlassian.net/browse/UL-22
UL-23,A la izquierda del nombre del platillo se encuentra una flecha que permite regresar a la lista de platillos,APROBADO,
UL-24,"El botón ""siguiente"" se encuentra no funciona si no hay platillos en la lista de pedidos",APROBADO,
UL-25,En la pantalla de confirmación del pedido se encuentra el punto de recogida,APROBADO,
UL-26,"En la pantalla de confirmación del pedido se encuentra el botón ""atrás""",APROBADO,
UL-27,En la pantalla de confirmación del pedido se encuentra la lista de platillos ,APROBADO,
UL-28,El importe total muestra el precio de todos los platillos preparados y la entrega ,APROBADO,
